# Simulation 1 (Up to date)
# 0,
# Time (s),Altitude (m),Vertical velocity (m/s),Vertical acceleration (m/s²),Total velocity (m/s),Total acceleration (m/s²),Position East of launch (m),Position North of launch (m),Lateral distance (m),Lateral direction (°),Lateral velocity (m/s),Lateral acceleration (m/s²),Latitude (°),Longitude (°),Gravitational acceleration (m/s²),Angle of attack (°),Roll rate (°/s),Pitch rate (°/s),Yaw rate (°/s),Mass (g),Motor mass (g),Longitudinal moment of inertia (kg·m²),Rotational moment of inertia (kg·m²),CP location (cm),CG location (cm),Stability margin calibers (​),Mach number (​),Reynolds number (​),Thrust (N),Drag force (N),Drag coefficient (​),Axial drag coefficient (​),Friction drag coefficient (​),Pressure drag coefficient (​),Base drag coefficient (​),Normal force coefficient (​),Pitch moment coefficient (​),Yaw moment coefficient (​),Side force coefficient (​),Roll moment coefficient (​),Roll forcing coefficient (​),Roll damping coefficient (​),Pitch damping coefficient (​),Coriolis acceleration (m/s²),Reference length (cm),Reference area (cm²),Vertical orientation (zenith) (°),Lateral orientation (azimuth) (°),Wind velocity (m/s),Air temperature (°C),Air pressure (mbar),Speed of sound (m/s),Simulation time step (s),Computation time (s)
5.414,344.354,62.708,-16.8,62.893,16.821,17.517,0.005,17.517,0.017,4.816,0.836,28.61,-80.6,9.791,0.068,-1.978e-4,1.402,-0.029,4820.9,218.9,0.077,3.99e-4,108.006,84.986,2.252,0.186,6.128e6,0,34.023,1.757,1.757,0.229,0.003,0.125,0.009,0.021,-4.304e-4,0,0,0,0,3.048e-4,0.008,10.22,82.034,83.579,0.022,2.326,12.762,972.863,339.032,0.05,0.095
5.464,347.468,61.873,-16.615,62.057,16.635,17.757,0.005,17.757,0.017,4.775,0.805,28.61,-80.6,9.791,0.028,-2.079e-4,2.696,0.026,4820.9,218.9,0.077,3.99e-4,108.053,84.986,2.257,0.184,6.045e6,0,33.119,1.757,1.757,0.229,0.003,0.124,0.004,0.008,3.791e-4,0,0,0,0,0.001,0.008,10.22,82.034,83.466,0.015,2.345,12.741,972.498,339.02,0.05,0.095
5.514,350.541,61.046,-16.437,61.23,16.454,17.995,0.005,17.995,0.017,4.736,0.744,28.61,-80.6,9.791,0.075,-1.252e-4,-2.219,-0.017,4820.9,218.9,0.077,3.99e-4,107.992,84.986,2.251,0.181,5.963e6,0,32.232,1.757,1.757,0.229,0.003,0.124,0.01,0.025,3.587e-5,0,0,0,0,-8.049e-4,0.008,10.22,82.034,83.329,0.011,2.315,12.721,972.137,339.008,0.05,0.096
5.564,353.573,60.229,-16.26,60.412,16.276,18.231,0.005,18.231,0.017,4.701,0.702,28.61,-80.6,9.791,0.126,-1.364e-4,0.635,-0.035,4820.9,218.9,0.077,3.99e-4,107.927,84.986,2.245,0.179,5.882e6,0,31.363,1.756,1.756,0.229,0.003,0.124,0.018,0.039,-6.17e-5,0,0,0,0,6.778e-5,0.008,10.22,82.034,83.283,0.005,2.241,12.702,971.782,338.996,0.05,0.096
5.614,356.564,59.42,-16.082,59.603,16.098,18.465,0.006,18.465,0.017,4.665,0.712,28.61,-80.6,9.791,0.054,-1.687e-4,1.897,0.001,4820.9,218.9,0.077,3.99e-4,108.014,84.986,2.253,0.176,5.802e6,0,30.515,1.756,1.756,0.229,0.003,0.124,0.007,0.016,2.018e-4,0,0,0,0,6.206e-4,0.008,10.22,82.034,83.366,0.007,2.191,12.682,971.431,338.984,0.05,0.097
5.664,359.515,58.621,-15.907,58.803,15.924,18.697,0.006,18.697,0.017,4.63,0.719,28.61,-80.6,9.791,0.03,-1.327e-4,-2.902,-0.052,4820.9,218.9,0.077,3.99e-4,108.041,84.986,2.256,0.174,5.722e6,0,29.682,1.756,1.756,0.229,0.003,0.124,0.004,0.011,-2.286e-7,0,0,0,0,-0.001,0.008,10.22,82.034,83.504,0.019,2.076,12.663,971.085,338.973,0.05,0.098
5.714,362.426,57.829,-15.737,58.012,15.755,18.928,0.006,18.928,0.017,4.593,0.752,28.61,-80.6,9.791,0.158,-1.478e-4,-0.414,3.622e-4,4820.9,218.9,0.077,3.99e-4,107.88,84.986,2.24,0.172,5.644e6,0,28.885,1.756,1.756,0.229,0.003,0.124,0.022,0.05,4.055e-4,0,0,0,0,-3.126e-5,0.007,10.22,82.034,83.599,0.03,2.076,12.644,970.743,338.961,0.05,0.099
5.764,365.298,57.047,-15.577,57.228,15.594,19.157,0.006,19.157,0.017,4.555,0.722,28.61,-80.6,9.791,0.124,-1.55e-4,2.647,-0.009,4820.9,218.9,0.077,3.99e-4,107.919,84.986,2.244,0.169,5.566e6,0,28.1,1.756,1.756,0.229,0.003,0.124,0.017,0.038,-3.848e-4,0,0,0,0,0.001,0.007,10.22,82.034,83.537,0.027,2.044,12.626,970.407,338.95,0.05,0.099
5.814,368.131,56.272,-15.424,56.453,15.438,19.384,0.006,19.384,0.017,4.521,0.658,28.61,-80.6,9.791,0.007,-1.978e-4,-3.075,0.311,4820.9,218.9,0.077,3.99e-4,108.063,84.986,2.258,0.167,5.49e6,0,27.334,1.756,1.756,0.229,0.003,0.124,9.391e-4,0.004,-3.201e-4,0,0,0,0,-0.002,0.007,10.22,82.034,83.367,0.015,2.005,12.607,970.074,338.939,0.05,0.1
5.864,370.925,55.504,-15.273,55.685,15.286,19.609,0.006,19.609,0.018,4.489,0.636,28.61,-80.6,9.791,0.054,-1.764e-4,-2.78,0.058,4820.9,218.9,0.077,3.99e-4,108.002,84.986,2.252,0.165,5.415e6,0,26.598,1.756,1.756,0.229,0.003,0.124,0.008,0.019,1.254e-4,0,0,0,0,-0.002,0.007,10.22,82.034,83.208,0.01,2.064,12.589,969.747,338.928,0.05,0.101
5.914,373.682,54.744,-15.124,54.925,15.137,19.832,0.006,19.832,0.018,4.457,0.621,28.61,-80.6,9.791,0.07,-1.779e-4,-1.425,0.054,4820.9,218.9,0.077,3.99e-4,107.98,84.986,2.25,0.163,5.34e6,0,25.875,1.756,1.756,0.229,0.003,0.123,0.01,0.022,9.014e-5,0,0,0,0,-4.124e-4,0.007,10.22,82.034,83.105,0.011,2.089,12.571,969.423,338.917,0.05,0.101
5.964,376.4,53.992,-14.976,54.173,14.989,20.055,0.006,20.055,0.018,4.426,0.623,28.61,-80.6,9.791,0.036,-1.743e-4,-0.577,0.052,4820.9,218.9,0.077,3.99e-4,108.021,84.986,2.254,0.16,5.267e6,0,25.169,1.756,1.756,0.229,0.003,0.123,0.005,0.011,-1.415e-4,0,0,0,0,-6.937e-5,0.007,10.22,82.034,83.063,0.016,2.109,12.553,969.105,338.906,0.05,0.102
6.014,379.081,53.247,-14.831,53.428,14.844,20.275,0.006,20.275,0.018,4.395,0.628,28.61,-80.6,9.791,0.017,-1.595e-4,0.166,-0.03,4820.9,218.9,0.077,3.99e-4,108.042,84.986,2.256,0.158,5.194e6,0,24.478,1.756,1.756,0.229,0.003,0.123,0.002,0.006,-8.09e-5,0,0,0,0,5.898e-6,0.007,10.22,82.034,83.052,0.026,2.111,12.536,968.79,338.896,0.05,0.103
6.064,381.725,52.509,-14.689,52.69,14.703,20.494,0.006,20.494,0.018,4.363,0.643,28.61,-80.6,9.791,0.093,-1.589e-4,1.265,-0.006,4820.9,218.9,0.077,3.99e-4,107.946,84.986,2.247,0.156,5.122e6,0,23.809,1.756,1.756,0.229,0.003,0.123,0.013,0.028,-7.281e-5,0,0,0,0,3.526e-4,0.007,10.22,82.034,83.023,0.028,2.156,12.519,968.48,338.885,0.05,0.104
6.114,384.332,51.778,-14.553,51.958,14.567,20.711,0.007,20.711,0.018,4.331,0.647,28.61,-80.6,9.791,0.128,-1.128e-4,2.754,0.021,4820.9,218.9,0.077,3.99e-4,107.901,84.986,2.242,0.154,5.051e6,0,23.158,1.755,1.756,0.229,0.003,0.123,0.018,0.038,1.997e-4,0,0,0,0,0.002,0.007,10.22,82.034,82.92,0.022,2.221,12.502,968.174,338.875,0.05,0.104
6.164,386.903,51.053,-14.422,51.234,14.436,20.927,0.007,20.927,0.018,4.299,0.627,28.61,-80.6,9.791,0.076,-1.513e-4,4.927,0.016,4820.9,218.9,0.077,3.99e-4,107.963,84.986,2.248,0.152,4.981e6,0,22.523,1.755,1.755,0.23,0.003,0.123,0.011,0.018,-3.779e-4,0,0,0,0,0.006,0.007,10.22,82.034,82.721,0.016,2.298,12.485,967.873,338.865,0.05,0.105
6.214,389.437,50.335,-14.299,50.516,14.31,21.141,0.007,21.141,0.018,4.269,0.558,28.61,-80.6,9.791,0.114,-1.047e-4,-3.727,-0.014,4820.9,218.9,0.077,3.99e-4,107.914,84.986,2.244,0.15,4.91e6,0,21.89,1.755,1.755,0.23,0.003,0.123,0.016,0.039,9.55e-5,0,0,0,0,-0.003,0.006,10.22,82.034,82.488,0.012,2.251,12.469,967.576,338.855,0.05,0.106
6.264,391.936,49.623,-14.174,49.804,14.184,21.354,0.007,21.354,0.018,4.242,0.539,28.61,-80.6,9.791,0.159,-1.428e-4,-1.862,-0.002,4820.9,218.9,0.077,3.99e-4,107.858,84.986,2.238,0.148,4.841e6,0,21.28,1.755,1.755,0.23,0.003,0.123,0.022,0.051,-9.62e-5,0,0,0,0,-8.543e-4,0.006,10.22,82.034,82.344,0.011,2.282,12.452,967.282,338.845,0.05,0.107
6.314,394.4,48.918,-14.048,49.099,14.058,21.566,0.007,21.566,0.018,4.215,0.537,28.61,-80.6,9.791,0.127,-1.633e-4,0.346,0.018,4820.9,218.9,0.077,3.99e-4,107.896,84.986,2.242,0.146,4.772e6,0,20.679,1.755,1.755,0.23,0.003,0.123,0.018,0.04,-3.713e-4,0,0,0,0,3.031e-5,0.006,10.22,82.034,82.317,0.015,2.27,12.436,966.994,338.835,0.05,0.108
6.364,396.828,48.219,-13.924,48.4,13.934,21.776,0.007,21.776,0.019,4.188,0.543,28.61,-80.6,9.791,0.051,-1.7e-4,1.505,0.017,4820.9,218.9,0.077,3.99e-4,107.988,84.986,2.251,0.144,4.703e6,0,20.087,1.755,1.755,0.23,0.003,0.123,0.007,0.015,4.923e-4,0,0,0,0,5.908e-4,0.006,10.22,82.034,82.376,0.022,2.224,12.421,966.709,338.826,0.05,0.108
6.414,399.222,47.525,-13.802,47.707,13.813,21.984,0.007,21.984,0.019,4.161,0.545,28.61,-80.6,9.791,0.028,-1.765e-4,-1.868,0.077,4820.9,218.9,0.077,3.99e-4,108.014,84.986,2.253,0.141,4.634e6,0,19.507,1.755,1.755,0.23,0.003,0.123,0.004,0.009,2.559e-4,0,0,0,0,-9.375e-4,0.006,10.22,82.034,82.469,0.025,2.148,12.405,966.428,338.816,0.05,0.109
6.464,401.581,46.838,-13.684,47.02,13.695,22.192,0.007,22.192,0.019,4.134,0.546,28.61,-80.6,9.791,0.094,-1.646e-4,-0.642,0.028,4820.9,218.9,0.077,3.99e-4,107.931,84.986,2.245,0.139,4.566e6,0,18.943,1.755,1.755,0.23,0.003,0.123,0.013,0.03,5.378e-5,0,0,0,0,-1.141e-4,0.006,10.22,82.034,82.537,0.024,2.087,12.39,966.151,338.807,0.05,0.11
6.514,403.906,46.157,-13.571,46.339,13.581,22.398,0.007,22.398,0.019,4.107,0.513,28.61,-80.6,9.791,0.043,-1.539e-4,-0.074,-0.007,4820.9,218.9,0.077,3.99e-4,107.993,84.986,2.251,0.137,4.498e6,0,18.384,1.755,1.755,0.23,0.003,0.122,0.006,0.014,-2.087e-4,0,0,0,0,-1.569e-6,0.006,10.22,82.034,82.551,0.02,1.961,12.375,965.879,338.798,0.05,0.11
6.564,406.197,45.481,-13.459,45.664,13.469,22.602,0.007,22.602,0.019,4.082,0.514,28.61,-80.6,9.791,0.093,-1.563e-4,0.409,-0.009,4820.9,218.9,0.077,3.99e-4,107.93,84.986,2.245,0.135,4.432e6,0,17.851,1.755,1.755,0.23,0.003,0.122,0.013,0.029,-1.436e-5,0,0,0,0,4.9e-5,0.006,10.22,82.034,82.536,0.016,1.951,12.36,965.61,338.789,0.05,0.112
6.614,408.454,44.811,-13.349,44.994,13.361,22.806,0.008,22.806,0.019,4.055,0.546,28.61,-80.6,9.791,0.238,-1.551e-4,2.869,0.006,4820.9,218.9,0.077,3.99e-4,107.75,84.986,2.227,0.134,4.369e6,0,17.346,1.755,1.755,0.23,0.003,0.122,0.033,0.072,1.782e-4,0,0,0,0,0.002,0.006,10.22,82.034,82.458,0.016,2.078,12.345,965.345,338.78,0.05,0.112
6.664,410.678,44.146,-13.245,44.33,13.256,23.008,0.008,23.008,0.019,4.028,0.543,28.61,-80.6,9.791,0.241,-1.38e-4,5.258,0.019,4820.9,218.9,0.077,3.99e-4,107.745,84.986,2.227,0.132,4.305e6,0,16.847,1.755,1.755,0.23,0.003,0.122,0.034,0.067,2.986e-4,0,0,0,0,0.009,0.006,10.22,82.034,82.249,0.017,2.173,12.331,965.084,338.771,0.05,0.113
6.714,412.869,43.487,-13.146,43.67,13.156,23.209,0.008,23.209,0.019,4.001,0.519,28.61,-80.6,9.791,0.136,-1.651e-4,7.369,0.022,4820.9,218.9,0.077,3.99e-4,107.872,84.986,2.239,0.13,4.242e6,0,16.36,1.755,1.755,0.23,0.003,0.122,0.019,0.025,-3.929e-4,0,0,0,0,0.017,0.006,10.22,82.034,81.922,0.017,2.278,12.316,964.827,338.763,0.05,0.114
6.764,415.027,42.832,-13.053,43.016,13.061,23.408,0.008,23.408,0.019,3.977,0.458,28.61,-80.6,9.791,0.116,-8.277e-5,-6.558,-0.016,4820.9,218.9,0.077,3.99e-4,107.896,84.986,2.242,0.128,4.179e6,0,15.874,1.755,1.755,0.23,0.003,0.122,0.016,0.051,9.674e-5,0,0,0,0,-0.014,0.006,10.22,82.034,81.558,0.019,2.28,12.302,964.574,338.754,0.05,0.115
6.814,417.152,42.181,-12.96,42.366,12.967,23.606,0.008,23.606,0.019,3.955,0.426,28.61,-80.6,9.791,0.252,-1.647e-4,-4.383,0.007,4820.9,218.9,0.077,3.99e-4,107.728,84.986,2.225,0.126,4.116e6,0,15.406,1.754,1.755,0.23,0.003,0.122,0.035,0.085,4.822e-4,0,0,0,0,-0.007,0.005,10.22,82.034,81.281,0.022,2.319,12.289,964.325,338.746,0.05,0.115
6.864,419.245,41.536,-12.865,41.721,12.871,23.804,0.008,23.804,0.019,3.934,0.416,28.61,-80.6,9.791,0.271,-1.556e-4,-1.285,-0.006,4820.9,218.9,0.077,3.99e-4,107.703,84.986,2.223,0.124,4.054e6,0,14.944,1.754,1.755,0.23,0.003,0.122,0.038,0.085,1.554e-4,0,0,0,0,-5.78e-4,0.005,10.22,82.034,81.144,0.023,2.331,12.275,964.08,338.737,0.05,0.116
6.914,421.305,40.895,-12.767,41.082,12.774,24,0.008,24,0.02,3.912,0.435,28.61,-80.6,9.791,0.141,-1.65e-4,0.486,0.013,4820.9,218.9,0.077,3.99e-4,107.86,84.986,2.238,0.122,3.992e6,0,14.492,1.754,1.754,0.23,0.003,0.122,0.02,0.044,-2.642e-4,0,0,0,0,8.522e-5,0.005,10.22,82.034,81.138,0.024,2.364,12.262,963.838,338.729,0.05,0.117
6.964,423.334,40.259,-12.672,40.446,12.679,24.195,0.008,24.195,0.02,3.891,0.44,28.61,-80.6,9.791,0.045,-1.552e-4,1.717,0.018,4820.9,218.9,0.077,3.99e-4,107.978,84.986,2.25,0.12,3.93e6,0,14.043,1.754,1.754,0.23,0.003,0.122,0.006,0.013,9.611e-5,0,0,0,0,0.001,0.005,10.22,82.034,81.203,0.023,2.307,12.248,963.6,338.721,0.05,0.118
7.014,425.331,39.628,-12.578,39.816,12.586,24.389,0.008,24.389,0.02,3.868,0.461,28.61,-80.6,9.791,0.124,-1.478e-4,-1.152,-0.002,4820.9,218.9,0.077,3.99e-4,107.878,84.986,2.24,0.118,3.868e6,0,13.611,1.754,1.754,0.23,0.003,0.122,0.017,0.039,-1.053e-5,0,0,0,0,-5.096e-4,0.005,10.22,82.034,81.283,0.02,2.302,12.235,963.366,338.714,0.05,0.118
7.064,427.297,39.001,-12.489,39.19,12.497,24.582,0.009,24.582,0.02,3.845,0.456,28.61,-80.6,9.791,0.174,-1.566e-4,0.334,0.004,4820.9,218.9,0.077,3.99e-4,107.816,84.986,2.234,0.117,3.807e6,0,13.183,1.754,1.754,0.23,0.003,0.122,0.024,0.054,-3.4e-4,0,0,0,0,4.421e-5,0.005,10.22,82.034,81.306,0.017,2.243,12.223,963.135,338.706,0.05,0.119
7.1,428.702,38.55,-12.427,38.739,12.435,24.721,0.009,24.721,0.02,3.829,0.434,28.61,-80.6,9.791,0.114,-1.568e-4,1.234,0.013,4820.9,218.9,0.077,3.99e-4,107.89,84.986,2.241,0.115,3.762e6,0,12.874,1.754,1.754,0.23,0.003,0.122,0.016,0.035,6.343e-5,0,0,0,0,6.181e-4,0.005,10.22,82.034,81.277,0.015,2.164,12.213,962.97,338.7,0.036,0.12
7.15,430.614,37.93,-12.347,38.121,12.353,24.912,0.009,24.912,0.02,3.808,0.381,28.61,-80.6,9.791,0.092,-1.529e-4,-1.252,0.016,4820.9,218.9,0.077,3.99e-4,107.915,84.986,2.244,0.113,3.7e6,0,12.451,1.754,1.754,0.23,0.003,0.122,0.013,0.03,-4.22e-4,0,0,0,0,-6.576e-4,0.005,10.22,82.034,81.205,0.014,1.993,12.201,962.746,338.693,0.05,0.123
7.2,432.495,37.315,-12.267,37.507,12.272,25.101,0.009,25.101,0.02,3.79,0.343,28.61,-80.6,9.791,0.227,-1.534e-4,0.097,0.009,4820.9,218.9,0.077,3.99e-4,107.749,84.986,2.227,0.111,3.638e6,0,12.043,1.754,1.754,0.23,0.003,0.122,0.032,0.071,3.338e-4,0,0,0,0,4.046e-6,0.005,10.22,82.034,81.171,0.016,1.85,12.189,962.526,338.685,0.05,0.123
7.25,434.345,36.704,-12.185,36.897,12.19,25.291,0.009,25.291,0.02,3.774,0.335,28.61,-80.6,9.791,0.204,-1.569e-4,1.825,0.018,4820.9,218.9,0.077,3.99e-4,107.775,84.986,2.23,0.11,3.578e6,0,11.648,1.754,1.754,0.23,0.003,0.122,0.028,0.062,-4.604e-4,0,0,0,0,0.001,0.005,10.22,82.034,81.223,0.019,1.758,12.177,962.309,338.678,0.05,0.124
7.274,435.223,36.412,-12.147,36.606,12.151,25.381,0.009,25.381,0.02,3.766,0.324,28.61,-80.6,9.791,0.218,-1.574e-4,2.653,0.017,4820.9,218.9,0.077,3.99e-4,107.757,84.986,2.228,0.109,3.548e6,0,11.458,1.754,1.754,0.23,0.003,0.122,0.03,0.064,4.369e-4,0,0,0,0,0.003,0.005,10.22,82.034,81.277,0.022,1.679,12.171,962.206,338.675,0.024,0.125
7.31,436.526,35.976,-12.088,36.171,12.092,25.516,0.009,25.516,0.02,3.754,0.33,28.61,-80.6,9.791,0.122,-1.501e-4,3.737,0.029,4820.9,218.9,0.077,3.99e-4,107.875,84.986,2.24,0.107,3.505e6,0,11.181,1.754,1.754,0.23,0.003,0.121,0.017,0.032,-2.417e-4,0,0,0,0,0.007,0.005,10.22,82.034,81.393,0.026,1.612,12.163,962.053,338.669,0.036,0.126
7.36,438.309,35.373,-12.005,35.57,12.011,25.704,0.009,25.704,0.02,3.736,0.388,28.61,-80.6,9.791,0.304,-1.604e-4,-2.724,-0.005,4820.9,218.9,0.077,3.99e-4,107.651,84.986,2.218,0.106,3.449e6,0,10.826,1.754,1.754,0.23,0.003,0.121,0.043,0.098,-1.783e-4,0,0,0,0,-0.004,0.005,10.22,82.034,81.568,0.032,1.709,12.151,961.844,338.662,0.05,0.127
7.41,440.063,34.775,-11.927,34.973,11.935,25.89,0.009,25.89,0.02,3.716,0.423,28.61,-80.6,9.791,0.587,-1.673e-4,0.656,-0.003,4820.9,218.9,0.077,3.99e-4,107.31,84.986,2.184,0.104,3.392e6,0,10.481,1.754,1.756,0.23,0.003,0.121,0.083,0.181,-3.642e-4,0,0,0,0,2.144e-4,0.004,10.22,82.034,81.628,0.035,1.775,12.14,961.638,338.655,0.05,0.127
7.458,441.711,34.207,-11.858,34.406,11.865,26.067,0.009,26.067,0.021,3.695,0.411,28.61,-80.6,9.791,0.571,-1.637e-4,4.468,-5.469e-4,4820.9,218.9,0.077,3.99e-4,107.329,84.986,2.186,0.102,3.337e6,0,10.144,1.754,1.756,0.23,0.003,0.121,0.081,0.166,-3.503e-4,0,0,0,0,0.01,0.004,10.22,82.034,81.501,0.033,1.767,12.129,961.445,338.649,0.048,0.128
7.508,443.407,33.615,-11.79,33.816,11.796,26.251,0.009,26.251,0.021,3.676,0.373,28.61,-80.6,9.791,0.364,-1.504e-4,7.097,-0.005,4820.9,218.9,0.077,3.99e-4,107.575,84.986,2.21,0.101,3.28e6,0,9.794,1.754,1.754,0.23,0.003,0.121,0.051,0.087,2.245e-5,0,0,0,0,0.027,0.004,10.22,82.034,81.198,0.028,1.745,12.118,961.246,338.642,0.05,0.129
7.558,445.073,33.028,-11.723,33.23,11.729,26.435,0.01,26.435,0.021,3.658,0.355,28.61,-80.6,9.791,0.243,-1.52e-4,8.436,0.01,4820.9,218.9,0.077,3.99e-4,107.722,84.986,2.225,0.099,3.224e6,0,9.466,1.754,1.754,0.23,0.003,0.121,0.034,0.036,-4.574e-4,0,0,0,0,0.039,0.004,10.22,82.034,80.801,0.023,1.833,12.107,961.05,338.636,0.05,0.129
7.608,446.71,32.443,-11.66,32.647,11.665,26.617,0.01,26.617,0.021,3.64,0.327,28.61,-80.6,9.791,0.036,-1.771e-4,8.61,0.244,4820.9,218.9,0.077,3.99e-4,107.975,84.986,2.249,0.097,3.169e6,0,9.142,1.754,1.754,0.23,0.003,0.121,0.005,-0.031,-4.229e-4,0,0,0,0,0.042,0.004,10.22,82.034,80.368,0.018,1.883,12.096,960.858,338.629,0.05,0.13
7.658,448.317,31.861,-11.601,32.067,11.604,26.799,0.01,26.799,0.021,3.626,0.276,28.61,-80.6,9.791,0.32,-1.411e-4,-6.867,0.02,4820.9,218.9,0.077,3.99e-4,107.626,84.986,2.215,0.095,3.112e6,0,8.82,1.754,1.754,0.23,0.003,0.121,0.045,0.127,-3.225e-4,0,0,0,0,-0.028,0.004,10.22,82.034,79.974,0.013,1.817,12.086,960.67,338.623,0.05,0.13
7.708,449.896,31.283,-11.54,31.491,11.542,26.98,0.01,26.98,0.021,3.612,0.259,28.61,-80.6,9.791,0.434,-1.434e-4,-4.394,0.02,4820.9,218.9,0.077,3.99e-4,107.487,84.986,2.202,0.094,3.057e6,0,8.512,1.754,1.755,0.23,0.003,0.121,0.061,0.146,-2.77e-4,0,0,0,0,-0.012,0.004,10.22,82.034,79.694,0.013,1.83,12.076,960.485,338.617,0.05,0.131
7.758,451.446,30.707,-11.478,30.918,11.481,27.16,0.01,27.16,0.021,3.6,0.24,28.61,-80.6,9.791,0.539,-1.626e-4,-1.389,0.023,4820.9,218.9,0.077,3.99e-4,107.362,84.986,2.189,0.092,3e6,0,8.205,1.754,1.755,0.23,0.003,0.121,0.076,0.168,-2.705e-4,0,0,0,0,-0.001,0.004,10.22,82.034,79.552,0.015,1.762,12.066,960.303,338.611,0.05,0.131
7.808,452.967,30.135,-11.413,30.348,11.416,27.34,0.01,27.34,0.021,3.588,0.251,28.61,-80.6,9.791,0.393,-1.568e-4,1.087,0.012,4820.9,218.9,0.077,3.99e-4,107.535,84.986,2.206,0.09,2.946e6,0,7.905,1.754,1.754,0.23,0.003,0.121,0.055,0.121,-2.977e-4,0,0,0,0,7.783e-4,0.004,10.22,82.034,79.552,0.019,1.757,12.056,960.125,338.605,0.05,0.132
7.858,454.459,29.566,-11.348,29.782,11.351,27.519,0.01,27.519,0.021,3.575,0.264,28.61,-80.6,9.791,0.19,-1.441e-4,2.767,0.027,4820.9,218.9,0.077,3.99e-4,107.781,84.986,2.23,0.089,2.89e6,0,7.61,1.753,1.754,0.23,0.003,0.121,0.026,0.054,1.629e-4,0,0,0,0,0.005,0.004,10.22,82.034,79.655,0.025,1.722,12.046,959.95,338.599,0.05,0.132
7.908,455.923,29,-11.282,29.218,11.287,27.697,0.01,27.697,0.021,3.56,0.314,28.61,-80.6,9.791,0.334,-1.536e-4,-2.202,-0.01,4820.9,218.9,0.077,3.99e-4,107.605,84.986,2.213,0.087,2.838e6,0,7.34,1.753,1.754,0.23,0.003,0.121,0.047,0.107,2.279e-4,0,0,0,0,-0.003,0.004,10.22,82.034,79.792,0.03,1.843,12.036,959.778,338.593,0.05,0.133
7.958,457.359,28.438,-11.222,28.658,11.227,27.875,0.01,27.875,0.022,3.544,0.337,28.61,-80.6,9.791,0.635,-1.607e-4,0.294,-0.003,4820.9,218.9,0.077,3.99e-4,107.244,84.986,2.178,0.086,2.785e6,0,7.075,1.753,1.756,0.23,0.003,0.121,0.09,0.196,3.689e-4,0,0,0,0,6.379e-5,0.004,10.22,82.034,79.846,0.034,1.88,12.027,959.609,338.587,0.05,0.133
8.008,458.767,27.878,-11.167,28.1,11.172,28.052,0.011,28.052,0.022,3.528,0.311,28.61,-80.6,9.791,0.516,-1.589e-4,2.867,-0.006,4820.9,218.9,0.077,3.99e-4,107.385,84.986,2.192,0.084,2.73e6,0,6.793,1.753,1.755,0.23,0.003,0.121,0.073,0.153,2.329e-4,0,0,0,0,0.006,0.004,10.22,82.034,79.763,0.034,1.766,12.018,959.444,338.582,0.05,0.134
8.058,460.147,27.321,-11.115,27.546,11.119,28.228,0.011,28.228,0.022,3.513,0.284,28.61,-80.6,9.791,0.336,-1.622e-4,4.715,-0.015,4820.9,218.9,0.077,3.99e-4,107.6,84.986,2.213,0.082,2.675e6,0,6.521,1.753,1.754,0.23,0.003,0.121,0.047,0.086,1.515e-4,0,0,0,0,0.018,0.004,10.22,82.034,79.567,0.033,1.683,12.009,959.282,338.576,0.05,0.135
8.108,461.499,26.767,-11.066,26.994,11.068,28.403,0.011,28.403,0.022,3.5,0.242,28.61,-80.6,9.791,0.012,-1.725e-4,-4.913,-0.298,4820.9,218.9,0.077,3.99e-4,107.996,84.986,2.252,0.08,2.62e6,0,6.251,1.753,1.753,0.23,0.003,0.121,0.002,0.022,2.179e-4,0,0,0,0,-0.018,0.003,10.22,82.034,79.317,0.031,1.54,12,959.124,338.571,0.05,0.135
8.158,462.824,26.215,-11.013,26.446,11.016,28.578,0.011,28.578,0.022,3.487,0.252,28.61,-80.6,9.791,0.129,-1.79e-4,4.933,-0.001,4820.9,218.9,0.077,3.99e-4,107.851,84.986,2.237,0.079,2.569e6,0,6.012,1.753,1.753,0.23,0.003,0.121,0.018,0.02,6.129e-5,0,0,0,0,0.021,0.003,10.22,82.034,79.07,0.027,1.637,11.992,958.969,338.566,0.05,0.136
8.208,464.121,25.665,-10.962,25.899,10.965,28.752,0.011,28.752,0.022,3.474,0.265,28.61,-80.6,9.791,0.311,-1.418e-4,5.64,0.022,4820.9,218.9,0.077,3.99e-4,107.629,84.986,2.216,0.077,2.518e6,0,5.781,1.753,1.754,0.23,0.003,0.121,0.043,0.068,-3.04e-4,0,0,0,0,0.029,0.003,10.22,82.034,78.809,0.023,1.75,11.983,958.816,338.561,0.05,0.136
8.258,465.39,25.118,-10.915,25.356,10.917,28.925,0.011,28.925,0.022,3.462,0.244,28.61,-80.6,9.791,0.138,-1.637e-4,6.012,0.058,4820.9,218.9,0.077,3.99e-4,107.838,84.986,2.236,0.076,2.466e6,0,5.539,1.753,1.753,0.23,0.003,0.121,0.019,0.009,7.649e-5,0,0,0,0,0.034,0.003,10.22,82.034,78.515,0.02,1.704,11.975,958.668,338.556,0.05,0.137
