# Simulation 1 (Up to date)
# 0,
# Time (s),Altitude (m),Vertical velocity (m/s),Vertical acceleration (m/s²),Total velocity (m/s),Total acceleration (m/s²),Position East of launch (m),Position North of launch (m),Lateral distance (m),Lateral direction (°),Lateral velocity (m/s),Lateral acceleration (m/s²),Latitude (°),Longitude (°),Gravitational acceleration (m/s²),Angle of attack (°),Roll rate (°/s),Pitch rate (°/s),Yaw rate (°/s),Mass (g),Motor mass (g),Longitudinal moment of inertia (kg·m²),Rotational moment of inertia (kg·m²),CP location (cm),CG location (cm),Stability margin calibers (​),Mach number (​),Reynolds number (​),Thrust (N),Drag force (N),Drag coefficient (​),Axial drag coefficient (​),Friction drag coefficient (​),Pressure drag coefficient (​),Base drag coefficient (​),Normal force coefficient (​),Pitch moment coefficient (​),Yaw moment coefficient (​),Side force coefficient (​),Roll moment coefficient (​),Roll forcing coefficient (​),Roll damping coefficient (​),Pitch damping coefficient (​),Coriolis acceleration (m/s²),Reference length (cm),Reference area (cm²),Vertical orientation (zenith) (°),Lateral orientation (azimuth) (°),Wind velocity (m/s),Air temperature (°C),Air pressure (mbar),Speed of sound (m/s),Simulation time step (s),Computation time (s)
0.348,4.554,25.612,65.144,25.612,65.146,-3.651e-4,0,3.651e-4,-180,0.019,0.512,28.61,-80.6,9.792,4.439,0,0.85,8.587e-5,7728.005,846.005,1.984,6.904e-4,142.832,122.976,1.943,0.075,3.628e6,590.377,11.268,3.235,3.399,0.312,0.003,0.121,1.235,2.399,-3.393e-4,0,0,0,0,8.704e-4,0.003,10.22,82.034,89.984,-5.366e-5,2.015,14.97,1012.716,340.371,0.023,0.027
0.381,5.455,27.79,64.425,27.79,64.427,-0.001,0,0.001,-180,0.036,0.478,28.61,-80.6,9.792,3.972,0,1.67,1.52e-5,7718.606,836.606,1.978,6.887e-4,143.303,122.881,1.998,0.082,3.935e6,585.981,13.133,3.236,3.37,0.312,0.003,0.121,1.09,2.175,-2.092e-4,0,0,0,0,0.003,0.004,10.22,82.034,89.942,2.463e-4,1.994,14.965,1012.61,340.367,0.034,0.027
0.431,6.923,30.95,63.023,30.95,63.024,-0.004,-8.659e-9,0.004,-180,0.058,0.354,28.61,-80.6,9.792,3.383,-3.996e-7,2.973,-3.108e-4,7704.923,822.923,1.969,6.862e-4,143.918,122.741,2.072,0.091,4.379e6,577.129,16.105,3.236,3.336,0.312,0.003,0.121,0.912,1.882,4.956e-4,0,0,0,0,0.007,0.004,10.22,82.034,89.826,9.474e-4,1.981,14.955,1012.438,340.362,0.05,0.028
0.481,8.546,33.963,60.122,33.963,60.122,-0.007,-1.705e-8,0.007,-180,0.071,0.157,28.61,-80.6,9.792,2.931,4.569e-7,4.359,-3.312e-4,7691.671,809.671,1.961,6.838e-4,144.407,122.606,2.133,0.1,4.804e6,556.983,19.247,3.236,3.313,0.312,0.003,0.121,0.779,1.649,-1.102e-4,0,0,0,0,0.013,0.004,10.22,82.034,89.643,0.002,2.022,14.944,1012.248,340.355,0.05,0.028
0.531,10.317,36.869,57.944,36.869,57.945,-0.011,1.027e-8,0.011,180,0.072,0.139,28.61,-80.6,9.792,2.478,-1.095e-6,5.812,-6.651e-4,7678.796,796.796,1.953,6.815e-4,144.912,122.473,2.196,0.108,5.213e6,542.645,22.528,3.236,3.292,0.312,0.003,0.122,0.649,1.406,3.315e-4,0,0,0,0,0.02,0.005,10.22,82.034,89.389,0.003,2.062,14.933,1012.04,340.348,0.05,0.029
0.581,12.231,39.678,56.012,39.678,56.015,-0.014,1.222e-7,0.014,179.999,0.056,0.565,28.61,-80.6,9.792,1.904,-1.49e-6,7.207,-0.001,7666.217,784.217,1.945,6.792e-4,145.573,122.344,2.273,0.117,5.608e6,530.378,25.902,3.236,3.27,0.312,0.003,0.122,0.49,1.088,2.232e-4,0,0,0,0,0.026,0.005,10.22,82.034,89.063,0.003,2.024,14.92,1011.816,340.341,0.05,0.029
0.631,14.281,42.332,52.915,42.332,52.924,-0.016,3.99e-7,0.016,179.999,0.017,1.022,28.61,-80.6,9.792,1.424,9.185e-7,8.382,-7.212e-4,7654.108,772.108,1.937,6.77e-4,146.146,122.219,2.341,0.125,5.982e6,509.362,29.345,3.237,3.256,0.312,0.003,0.122,0.361,0.814,-2.577e-5,0,0,0,0,0.031,0.005,10.22,82.034,88.672,0.003,2.05,14.907,1011.575,340.333,0.05,0.03
0.681,16.461,44.845,50.066,44.845,50.09,-0.015,9.396e-7,0.015,179.996,0.045,1.556,28.61,-80.6,9.792,0.881,0,9.371,-0.002,7642.471,760.471,1.93,6.749e-4,146.817,122.098,2.419,0.132,6.335e6,490.418,32.804,3.237,3.244,0.312,0.003,0.122,0.219,0.495,1.255e-4,0,0,0,0,0.035,0.006,10.22,82.034,88.227,0.004,2.032,14.893,1011.319,340.324,0.05,0.031
0.731,18.762,47.216,47.218,47.216,47.266,-0.011,1.846e-6,0.011,179.99,0.135,2.118,28.61,-80.6,9.792,0.334,-7.681e-7,9.875,-0.003,7631.273,749.273,1.923,6.729e-4,147.518,121.981,2.499,0.139,6.669e6,471.647,36.283,3.237,3.238,0.311,0.003,0.123,0.082,0.169,-1.075e-4,0,0,0,0,0.035,0.006,10.22,82.034,87.744,0.003,1.998,14.878,1011.05,340.315,0.05,0.032
0.781,21.179,49.429,44.043,49.429,44.123,-0.001,3.179e-6,0.001,179.854,0.252,2.65,28.61,-80.6,9.792,0.179,-3.15e-7,-9.906,-0.005,7620.571,738.571,1.916,6.71e-4,147.725,121.87,2.53,0.145,6.98e6,450.498,39.746,3.237,3.238,0.311,0.003,0.123,0.043,0.142,-3.704e-4,0,0,0,0,-0.032,0.006,10.22,82.034,87.248,0.003,1.968,14.862,1010.766,340.305,0.05,0.032
