# Simulation 2 (Up to date),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# 889 data points written for 53 variables.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52
# Time (s),Altitude (m),Vertical velocity (m/s),Vertical acceleration (m/s²),Total velocity (m/s),Total acceleration (m/s²),Position East of launch (m),Position North of launch (m),Lateral distance (m),Lateral direction (°),Lateral velocity (m/s),Lateral acceleration (m/s²),Latitude (°),Longitude (°),Gravitational acceleration (m/s²),Angle of attack (°),Roll rate (°/s),Pitch rate (°/s),Yaw rate (°/s),Mass (g),Longitudinal moment of inertia (kg·m²),Rotational moment of inertia (kg·m²),CP location (cm),CG location (cm),Stability margin calibers (​),Mach number (​),Reynolds number (​),Thrust (N),Drag force (N),Drag coefficient (​),Axial drag coefficient (​),Friction drag coefficient (​),Pressure drag coefficient (​),Base drag coefficient (​),Normal force coefficient (​),Pitch moment coefficient (​),Yaw moment coefficient (​),Side force coefficient (​),Roll moment coefficient (​),Roll forcing coefficient (​),Roll damping coefficient (​),Pitch damping coefficient (​),Coriolis acceleration (m/s²),Reference length (cm),Reference area (cm²),Vertical orientation (zenith) (°),Lateral orientation (azimuth) (°),Wind velocity (m/s),Air temperature (°C),Air pressure (mbar),Speed of sound (m/s),Simulation time step (s),Computation time (s)
# Event IGNITION occurred at t=0 seconds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Event LAUNCH occurred at t=0 seconds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.074,0.158,4.899,73.734,4.899,73.734,0,0,0,0,0,0,52.671,-1.525,9.813,43.959,0,0,0,647.508,0.038,1.58E-04,NaN,45.815,NaN,0.02,3.85E+05,54.113,0.016,0.626,0.43,0.478,0.028,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.33E-04,4.111,13.273,90,0,4.724,14.349,1001.503,339.994,0.002,0.109
0.076,0.168,5.047,74.033,5.047,74.033,0,0,0,0,0,0,52.671,-1.525,9.813,43.114,0,0,0,647.447,0.038,1.58E-04,NaN,45.812,NaN,0.02,3.91E+05,54.303,0.017,0.624,0.446,0.476,0.028,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.46E-04,4.111,13.273,90,0,4.725,14.349,1001.502,339.994,0.002,0.111
0.078,0.178,5.195,74.333,5.195,74.333,0,0,0,0,0,0,52.671,-1.525,9.813,42.292,0,0,0,647.386,0.038,1.58E-04,NaN,45.809,NaN,0.021,3.97E+05,54.493,0.018,0.622,0.461,0.474,0.028,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.60E-04,4.111,13.273,90,0,4.726,14.349,1001.501,339.994,0.002,0.113
0.08,0.189,5.345,74.632,5.345,74.632,0,0,0,0,0,0,52.671,-1.525,9.813,41.492,0,0,0,647.325,0.038,1.58E-04,NaN,45.806,NaN,0.021,4.04E+05,54.683,0.019,0.621,0.475,0.473,0.028,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.73E-04,4.111,13.273,90,0,4.727,14.349,1001.5,339.994,0.002,0.115
0.082,0.2,5.494,74.931,5.494,74.931,0,0,0,0,0,0,52.671,-1.525,9.813,40.714,0,0,0,647.263,0.038,1.58E-04,NaN,45.803,NaN,0.021,4.10E+05,54.872,0.021,0.619,0.489,0.471,0.028,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.86E-04,4.111,13.273,90,0,4.728,14.349,1001.498,339.994,0.002,0.131
0.084,0.211,5.645,75.23,5.645,75.23,0,0,0,0,0,0,52.671,-1.525,9.813,39.957,0,0,0,647.202,0.038,1.58E-04,NaN,45.799,NaN,0.022,4.17E+05,55.062,0.022,0.618,0.503,0.469,0.028,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.99E-04,4.111,13.273,90,0,4.729,14.349,1001.497,339.994,0.002,0.133
0.086,0.222,5.796,75.53,5.796,75.53,0,0,0,0,0,0,52.671,-1.525,9.813,39.221,0,0,0,647.141,0.038,1.58E-04,NaN,45.796,NaN,0.022,4.23E+05,55.252,0.023,0.616,0.516,0.468,0.028,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.13E-04,4.111,13.273,90,0,4.731,14.349,1001.496,339.994,0.002,0.134
0.088,0.234,5.948,75.829,5.948,75.829,0,0,0,0,0,0,52.671,-1.525,9.813,38.504,0,0,0,647.08,0.038,1.58E-04,NaN,45.793,NaN,0.022,4.30E+05,55.442,0.025,0.614,0.528,0.466,0.028,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.26E-04,4.111,13.273,90,0,4.732,14.348,1001.494,339.994,0.002,0.136
0.09,0.246,6.1,76.128,6.1,76.128,0,0,0,0,0,0,52.671,-1.525,9.813,37.808,0,0,0,647.019,0.038,1.58E-04,NaN,45.79,NaN,0.023,4.37E+05,55.631,0.026,0.613,0.54,0.465,0.028,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.40E-04,4.111,13.273,90,0,4.733,14.348,1001.493,339.994,0.002,0.137
0.092,0.258,6.253,76.428,6.253,76.428,0,0,0,0,0,0,52.671,-1.525,9.813,37.129,0,0,0,646.957,0.038,1.58E-04,NaN,45.787,NaN,0.023,4.44E+05,55.821,0.027,0.611,0.552,0.463,0.028,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.53E-04,4.111,13.273,90,0,4.734,14.348,1001.491,339.994,0.002,0.138
